Timestamp,Open,High,Low,Close,Volume
2012-01-03,123.94000244140625,124.52999877929688,123.61000061035156,100.15278625488281,7175100.0
2012-01-04,123.4000015258789,124.05000305175781,123.11000061035156,100.4282455444336,7625200.0
2012-01-05,123.45999908447266,124.11000061035156,122.58999633789062,100.41203308105469,8678900.0
2012-01-06,124.08000183105469,124.08000183105469,123.13999938964844,100.07178497314453,7488600.0
2012-01-09,123.69000244140625,123.91000366210938,123.13999938964844,100.17711639404297,5881800.0
2012-01-10,124.87999725341797,125.0,124.2699966430664,100.76040649414062,5274400.0
2012-01-11,124.04000091552734,124.44999694824219,123.80000305175781,100.68745422363281,4890300.0
2012-01-12,124.5,124.66999816894531,123.66000366210938,100.88190460205078,5591300.0
2012-01-13,123.70999908447266,124.16000366210938,122.91999816894531,100.5821304321289,6392100.0
2012-01-17,125.04000091552734,125.56999969482422,124.45999908447266,100.95479583740234,5348800.0
2012-01-18,124.52999877929688,125.72000122070312,124.41000366210938,101.7649154663086,6473000.0
2012-01-19,125.98999786376953,126.18000030517578,125.5199966430664,102.21045684814453,8095300.0
2012-01-20,126.04000091552734,126.95999908447266,125.94999694824219,102.98672485351562,6995400.0
2012-01-23,126.88999938964844,127.36000061035156,126.37999725341797,102.86510467529297,5166800.0
2012-01-24,126.0999984741211,126.55000305175781,125.87000274658203,102.55680847167969,4798200.0
2012-01-25,126.05999755859375,127.5199966430664,125.47000122070312,103.22199249267578,9642500.0
2012-01-26,127.8499984741211,128.1300048828125,126.6500015258789,103.0678939819336,5902300.0
2012-01-27,126.47000122070312,126.76000213623047,126.01000213623047,102.57305145263672,6136400.0
2012-01-30,125.38999938964844,126.30999755859375,125.0,102.39461517333984,5910600.0
2012-01-31,126.87999725341797,126.91999816894531,125.37999725341797,102.26482391357422,5951700.0
2012-02-01,127.06999969482422,127.58999633789062,126.7699966430664,102.94618225097656,9891000.0
2012-02-02,127.0199966430664,127.16000366210938,126.4800033569336,102.8893814086914,4531500.0
2012-02-03,128.0399932861328,128.49000549316406,127.83000183105469,104.13050079345703,8654000.0
2012-02-06,127.83000183105469,128.19000244140625,127.68000030517578,103.9277114868164,3852400.0
2012-02-07,127.94999694824219,128.75999450683594,127.55000305175781,104.24405670166016,5739300.0
2012-02-08,128.6199951171875,128.8000030517578,128.02999877929688,104.40631866455078,4884400.0
2012-02-09,128.9600067138672,129.1199951171875,128.3000030517578,104.44686126708984,5416600.0
2012-02-10,127.76000213623047,127.91999816894531,127.30000305175781,103.70867919921875,6380600.0
